#,gender,married,age,service,contract,billing,due
1,f,m,49,p,n,a,0
2,f,m,19,p,n,c,0
3,m,m,53,p,y,a,1
4,f,m,64,g,y,a,1
5,f,s,47,b,n,a,0
6,f,m,63,b,n,a,0
7,f,m,44,p,n,a,0
8,f,m,31,g,y,a,0
9,m,s,21,g,y,c,1
10,m,m,50,p,y,c,0
11,m,s,40,b,y,a,1
12,m,s,48,g,y,c,0
13,m,m,41,p,y,c,0
14,m,m,74,p,n,c,0
15,m,s,22,p,y,c,0
16,m,s,60,p,y,c,0
17,f,m,79,b,y,c,0
18,m,m,78,b,n,a,0
19,f,s,28,p,n,a,1
20,m,m,42,g,n,c,0
21,f,m,76,p,n,a,0
22,f,s,78,p,n,c,0
23,m,m,44,g,y,a,0
24,f,m,68,p,y,a,0
25,m,s,18,p,n,c,0
26,m,m,20,p,n,a,0
27,f,s,36,p,y,a,0
28,f,m,71,p,y,a,0
29,m,s,61,b,y,c,1
30,m,s,62,g,n,c,0
31,f,s,45,p,y,c,0
32,m,s,44,p,y,a,1
33,m,m,22,b,y,a,0
34,f,m,75,g,y,a,0
35,m,s,60,p,n,a,0
36,f,s,49,g,y,a,1
37,f,m,29,p,y,a,0
38,f,s,73,b,n,c,0
39,f,s,63,p,n,c,0
40,m,s,30,p,y,c,0
41,m,m,61,p,y,a,0
42,m,m,51,b,y,c,0
43,m,s,38,p,n,a,0
44,f,m,31,p,y,a,0
45,m,s,50,b,n,c,0
46,f,s,64,g,y,a,0
47,f,m,69,b,y,c,0
48,f,s,28,p,y,c,0
49,f,s,40,p,y,a,1
50,m,m,27,p,y,a,0
51,f,s,64,g,n,a,0
52,f,m,67,g,n,c,1
53,m,s,71,b,y,a,2
54,m,m,50,p,y,c,1
55,f,m,22,b,n,a,0
56,f,s,32,b,y,c,0
57,f,m,46,g,y,c,0
58,m,m,68,p,n,a,0
59,f,m,30,b,y,a,0
60,f,m,31,g,y,a,2
61,m,s,72,g,n,a,0
62,m,s,29,g,n,a,2
63,m,m,23,p,n,a,1
64,m,s,67,p,n,c,2
65,m,m,79,b,y,c,0
66,f,s,67,p,y,a,0
67,m,m,22,g,n,a,0
68,f,m,31,b,y,a,0
69,f,m,69,b,n,a,0
70,m,m,27,g,n,a,1
71,f,m,21,p,y,c,0
72,m,m,20,b,n,c,1
73,f,m,72,g,y,c,0
74,f,m,25,p,n,a,0
75,m,s,67,p,y,a,2
76,m,s,41,g,y,a,0
77,m,m,64,b,n,a,2
78,m,m,23,g,n,a,0
79,m,m,24,p,y,a,1
80,f,m,43,g,y,c,0
81,m,m,68,g,y,a,0
82,f,s,35,g,n,a,1
83,m,s,38,g,n,c,0
84,m,m,79,p,y,a,0
85,f,m,36,p,y,c,0
86,f,s,40,b,y,c,0
87,m,s,51,g,y,a,0
88,f,m,20,b,n,a,0
89,f,m,76,b,y,c,1
90,f,s,54,g,n,a,0
91,m,m,42,b,y,c,0
92,f,s,40,g,y,c,0
93,m,m,59,g,y,c,2
94,m,s,53,p,n,a,1
95,f,m,58,g,n,c,2
96,m,s,61,p,y,c,1
97,m,m,19,g,y,c,0
98,f,m,79,b,y,c,0
99,m,m,73,g,n,c,0
100,f,m,70,g,n,c,1
101,m,m,35,g,n,c,1
102,m,s,35,g,n,a,0
103,f,s,65,p,n,c,0
104,m,m,28,g,y,c,1
105,f,m,34,p,y,c,1
106,m,m,46,b,n,a,0
107,f,s,24,p,n,a,0
108,f,m,19,p,y,a,0
109,f,m,60,p,n,a,1
110,f,m,39,p,y,a,1
111,f,m,76,g,y,a,0
112,f,m,31,p,y,c,0
113,m,s,35,g,y,a,0
114,f,s,35,g,y,a,0
115,f,s,35,g,n,a,0
116,m,s,56,b,y,c,0
117,m,s,69,b,n,c,0
118,m,s,72,b,n,c,0
119,f,m,40,b,n,c,1
120,m,m,56,p,y,c,2
121,f,s,59,b,y,a,0
122,m,m,31,g,y,a,0
123,m,m,36,b,n,a,0
124,m,s,57,b,y,a,1
125,f,s,23,b,n,a,2
126,f,s,63,p,y,a,1
127,f,m,40,g,n,c,0
128,f,s,42,b,n,c,2
129,f,m,37,p,y,a,0
130,f,m,44,p,y,c,0
131,f,m,66,b,n,c,1
132,m,s,32,b,y,c,1
133,f,m,52,p,n,a,0
134,m,s,29,g,n,c,0
135,m,s,33,g,n,c,0
136,f,m,28,p,n,c,0
137,f,m,72,g,n,a,0
138,f,s,30,p,y,a,1
139,m,s,50,b,n,c,0
140,f,m,33,b,y,c,0
141,f,s,56,p,y,c,0
142,m,m,46,g,y,c,0
143,f,s,53,p,n,a,0
144,m,m,78,g,y,c,0
145,m,s,45,p,y,a,1
146,f,s,26,p,y,c,0
147,f,s,53,b,n,c,0
148,m,m,49,p,y,a,2
149,m,m,62,p,y,a,2
150,m,s,66,g,n,c,2
151,m,m,71,g,n,a,1
152,m,m,75,p,y,c,0
153,f,s,49,p,n,a,0
154,m,m,78,b,n,a,0
155,m,s,29,p,y,a,0
156,m,m,18,p,y,a,1
157,m,s,65,p,y,c,0
158,m,m,63,b,n,a,0
159,m,s,52,p,y,c,0
160,m,m,61,g,n,c,0
161,m,s,44,g,n,c,1
162,m,s,23,b,y,a,1
163,m,s,55,g,n,a,0
164,m,m,68,g,y,c,0
165,f,m,25,g,y,a,0
166,m,s,51,b,y,c,0
167,m,s,42,b,y,c,2
168,f,m,41,p,y,a,0
169,m,m,23,p,y,c,0
170,f,s,22,p,n,a,0
171,f,m,38,p,n,a,2
172,f,m,77,p,y,a,2
173,f,m,25,p,y,c,0
174,m,s,46,p,y,a,0
175,f,s,26,b,n,c,1
176,f,m,68,p,y,c,0
177,m,s,55,p,n,c,0
178,m,s,53,g,n,c,1
179,f,m,74,b,n,a,2
180,m,m,28,b,n,c,0
181,f,s,60,b,y,a,0
182,f,m,35,p,y,a,0
183,m,m,22,p,y,a,0
184,f,m,38,p,n,a,0
185,f,s,74,p,n,c,0
186,f,m,35,p,y,a,0
187,m,s,68,g,y,a,1
188,f,m,56,b,n,a,0
189,f,m,62,b,n,c,1
190,m,m,69,g,n,c,0
191,m,m,42,g,y,c,0
192,m,m,64,p,n,a,0
193,m,s,21,b,n,a,0
194,f,m,20,g,y,c,0
195,m,s,79,b,n,c,0
196,f,m,44,p,y,c,0
197,f,s,49,b,y,a,0
198,f,m,58,p,n,a,0
199,f,m,76,b,y,c,0
200,f,m,44,b,y,a,2
201,m,m,40,g,y,c,0
202,m,m,21,g,y,c,1
203,f,s,19,p,y,a,0
204,f,m,37,p,y,c,0
205,m,s,36,p,n,c,0
206,m,m,27,g,y,c,0
207,m,s,19,g,n,c,0
208,m,s,70,p,y,a,1
209,f,m,73,p,y,c,0
210,m,m,77,p,y,c,0
211,m,s,73,p,y,a,0
212,m,s,49,p,y,a,1
213,m,s,67,p,n,c,0
214,f,m,65,p,y,c,0
215,m,s,52,p,n,a,0
216,m,s,40,p,y,a,0
217,f,m,33,p,y,c,0
218,f,m,72,b,n,a,1
219,m,m,42,b,y,c,0
220,f,s,79,b,n,c,1
221,m,m,21,g,n,c,0
222,m,s,48,p,n,a,2
223,f,m,72,b,y,c,0
224,f,s,43,g,y,a,2
225,f,s,68,g,y,c,0
226,m,m,22,g,y,c,1
227,m,s,31,p,n,c,0
228,m,m,49,b,n,c,0
229,f,s,43,b,n,c,0
230,m,m,57,g,y,c,0
231,m,s,65,p,y,a,0
232,f,s,65,g,y,a,0
233,m,s,57,g,n,c,0
234,m,s,56,g,y,a,0
235,m,m,35,b,y,a,0
236,m,m,46,p,y,c,1
237,f,m,45,g,y,c,0
238,m,m,53,b,n,a,0
239,f,s,46,g,y,c,0
240,f,m,49,b,y,c,0
241,m,m,79,g,n,c,1
242,m,s,53,g,y,c,0
243,f,m,66,p,y,a,0
244,f,s,22,g,n,a,0
245,m,m,73,b,n,a,1
246,m,s,58,p,n,a,0
247,m,s,32,g,n,a,0
248,m,s,46,p,n,c,1
249,m,m,72,b,y,a,0
250,f,m,63,p,n,a,1
251,m,m,56,g,y,c,0
252,f,m,25,g,n,c,1
253,f,m,67,p,n,a,0
254,f,m,42,p,y,a,0
255,f,m,59,g,y,a,0
256,m,m,59,b,n,a,1
257,f,s,49,b,y,a,1
258,m,m,69,g,n,a,0
259,f,s,68,g,n,c,0
260,f,m,70,g,y,c,1
261,m,s,61,g,n,c,0
262,f,m,71,b,y,c,0
263,m,m,38,g,n,a,0
264,f,m,37,b,y,a,0
265,m,m,47,b,n,a,0
266,f,m,71,g,y,c,2
267,m,m,70,b,y,a,2
268,m,m,55,b,y,c,0
269,f,s,55,g,n,c,0
270,f,s,26,g,n,a,0
271,f,m,69,p,y,a,0
272,f,m,60,g,y,a,1
273,m,m,35,p,y,a,0
274,f,m,59,p,y,c,0
275,f,m,55,g,y,a,0
276,f,m,38,g,n,c,0
277,f,m,70,p,y,c,0
278,f,s,32,g,n,a,1
279,m,m,20,p,n,a,1
280,m,m,63,p,y,c,0
281,m,m,53,p,y,c,1
282,m,s,57,p,y,a,0
283,m,m,29,g,n,a,0
284,f,m,53,g,y,c,0
285,f,s,37,p,y,a,0
286,f,s,72,b,n,c,0
287,f,m,39,p,n,c,0
288,m,m,42,p,n,a,0
289,m,s,44,p,y,a,2
290,f,s,45,g,n,a,2
291,f,s,46,p,y,a,0
292,m,m,47,g,y,c,0
293,m,s,64,g,n,a,0
294,f,s,51,b,n,a,0
295,f,s,51,p,y,c,1
296,f,s,49,g,n,c,2
297,m,m,74,b,y,a,0
298,f,m,21,b,n,a,0
299,m,m,30,p,n,a,0
300,m,s,18,g,n,a,0
301,m,m,53,p,y,a,0
302,f,m,56,b,n,a,0
303,m,m,21,p,n,c,1
304,m,m,50,p,y,c,2
305,f,m,40,b,n,c,0
306,f,m,45,g,y,a,0
307,m,m,43,g,y,a,1
308,f,s,74,p,y,a,0
309,f,m,27,p,y,c,0
310,m,m,28,g,y,a,0
311,f,m,75,p,n,a,0
312,f,s,40,b,n,c,0
313,m,m,67,g,y,a,0
314,f,s,21,g,n,c,0
315,f,m,24,g,n,a,0
316,m,m,22,b,y,a,1
317,m,s,68,p,n,c,1
318,m,m,66,b,y,c,0
319,m,m,40,g,n,a,0
320,f,s,54,p,y,c,1
321,m,m,27,p,n,c,0
322,f,m,62,b,n,a,2
323,f,m,22,p,y,a,1
324,m,m,57,b,y,c,0
325,f,m,55,g,y,a,1
326,m,m,64,g,y,c,0
327,m,s,40,p,y,a,1
328,f,m,78,g,y,a,0
329,f,m,60,g,y,c,0
330,f,s,62,b,y,a,1
331,m,m,47,b,y,c,0
332,m,m,61,g,n,c,0
333,m,m,68,b,y,c,1
334,m,s,44,b,n,c,2
335,f,m,36,g,n,a,0
336,f,m,74,p,n,a,1
337,m,s,21,p,n,a,0
338,f,s,44,p,n,c,0
339,f,m,49,p,n,c,0
340,f,s,38,b,n,a,0
341,f,m,31,g,n,c,0
342,f,m,47,b,y,a,0
343,f,s,66,b,n,a,0
344,f,m,69,b,y,c,2
345,m,m,27,g,n,c,1
346,f,m,62,p,y,c,0
347,f,m,40,p,y,c,0
348,f,s,26,p,n,c,0
349,f,s,41,b,n,c,0
350,m,m,28,g,n,a,2
351,f,m,47,b,n,c,0
352,f,s,72,b,y,c,0
353,f,s,50,g,y,c,0
354,m,m,32,b,y,a,1
355,f,s,36,g,n,c,0
356,m,s,37,p,y,c,0
357,f,s,68,g,y,c,0
358,m,m,61,p,n,c,0
359,f,s,61,g,n,c,1
360,m,s,53,p,n,c,0
361,m,m,29,p,y,a,0
362,f,m,56,p,y,c,0
363,f,m,76,b,n,a,0
364,m,m,45,b,n,a,0
365,m,s,68,g,y,c,0
366,m,s,22,b,n,c,0
367,m,s,77,p,y,c,1
368,f,m,64,p,n,c,0
369,m,s,77,g,n,a,1
370,m,m,62,p,n,a,0
371,f,m,44,p,n,c,0
372,m,m,30,g,y,c,0
373,m,s,53,p,y,a,0
374,f,s,74,p,n,c,0
375,m,s,72,p,n,a,2
376,m,s,70,p,n,a,0
377,m,m,68,b,y,a,1
378,f,m,56,p,n,a,2
379,m,m,42,b,y,c,0
380,f,s,42,g,y,a,1
381,m,s,29,b,n,c,0
382,m,s,33,p,n,a,0
383,m,s,74,b,n,a,1
384,f,s,67,g,y,a,0
385,m,m,51,g,n,c,1
386,m,s,63,g,y,c,0
387,m,m,33,p,n,a,2
388,m,m,79,b,n,c,1
389,f,m,31,b,n,c,0
390,f,s,45,g,n,a,1
391,f,s,45,p,y,c,1
392,f,m,48,p,y,c,0
393,m,s,49,b,y,c,2
394,f,m,44,g,n,c,2
395,m,m,23,g,y,c,1
396,m,s,45,b,n,c,1
397,f,m,58,g,y,c,0
398,m,s,32,b,n,a,0
399,f,m,38,g,n,a,0
400,f,s,32,p,y,c,0
401,f,m,39,p,n,a,0
402,m,m,38,p,y,a,1
403,f,s,69,g,y,c,0
404,m,s,38,b,y,c,0
405,m,s,18,p,y,a,2
406,f,s,23,b,y,c,0
407,m,m,41,p,y,a,0
408,f,s,20,g,n,c,0
409,m,s,25,p,n,a,0
410,m,s,19,p,n,a,0
411,m,m,46,b,n,c,0
412,m,m,67,p,n,c,1
413,f,m,19,p,n,c,0
414,m,s,42,b,y,c,0
415,m,m,62,b,y,a,0
416,f,m,35,g,n,c,0
417,m,m,37,g,n,c,0
418,m,m,75,p,n,a,1
419,f,s,29,g,y,c,0
420,m,m,37,p,n,a,0
421,m,m,62,g,n,a,2
422,f,m,39,p,y,c,0
423,m,s,32,p,n,c,0
424,f,s,72,g,y,c,0
425,f,m,56,p,y,a,0
426,f,s,30,p,n,a,0
427,f,s,18,b,n,a,0
428,m,s,49,p,n,a,0
429,m,s,62,p,y,a,0
430,m,s,39,g,n,c,1
431,f,s,34,p,y,a,2
432,m,m,33,b,y,c,0
433,f,m,70,b,y,c,1
434,f,s,46,p,y,c,0
435,m,m,59,b,y,a,1
436,f,s,49,p,n,c,1
